Año,Mes,Hora,Dia,Lugar,Calle_ppal,Calle_sec,Comuna,Longitud,Latitud,Victima,Acusado,Rol_vic,Sexo,Edad,Fecha_fallec,Barrios
2016,1,4,Friday,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,CONDUCTOR,M,19,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,1,0,Sunday,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,SD,CONDUCTOR,M,18,SD,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,1,18,Sunday,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,CONDUCTOR,M,30,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,2,16,Monday,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO,PEATON,M,59,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,2,4,Sunday,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,8,-58.46244952,-34.70524971,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,M,34,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,3,12,Tuesday,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO,PASAJEROS,CONDUCTOR,M,21,SD,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,3,8,Monday,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,8,-58.49683458,-34.67892743,PEATON,PASAJEROS,PEATON,M,29,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,3,18,Wednesday,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,8,-58.47832463,-34.67494416,PEATON,CARGAS,PEATON,F,56,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,4,9,Tuesday,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON,PASAJEROS,PEATON,M,78,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,4,21,Saturday,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO,MOTO,CONDUCTOR,M,30,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,5,17,Saturday,AVENIDA,"DE LA TORRE, LISANDRO",SARAZA,8,-58.48455411,-34.67512760,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,F,30,SD,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,6,6,Sunday,GRAL PAZ,"PAZ, GRAL. AV.","SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO,AUTO,CONDUCTOR,M,60,SD,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
2016,6,23,Sunday,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,8,-58.47461076,-34.66874679,PEATON,AUTO,PEATON,M,42,SI,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI
